dataset,algorithm,platformId,runId,Energy,phase,acronym,hp,hpValue
DDF,MLP-maxIter-10,0,0,3458.995,train,MLP,maxIter,10
DDF,MLP-maxIter-10,0,1,2624.045,train,MLP,maxIter,10
DDF,MLP-maxIter-10,0,2,1535.15,train,MLP,maxIter,10
DDF,MLP-maxIter-10,0,0,2029.95,test,MLP,maxIter,10
DDF,MLP-maxIter-10,0,1,1715.15,test,MLP,maxIter,10
DDF,MLP-maxIter-10,0,2,558.905,test,MLP,maxIter,10
DDF,MLP-maxIter-100,0,0,9215.305,train,MLP,maxIter,100
DDF,MLP-maxIter-100,0,1,7689.34,train,MLP,maxIter,100
DDF,MLP-maxIter-100,0,2,9083.76,train,MLP,maxIter,100
DDF,MLP-maxIter-100,0,0,566.395,test,MLP,maxIter,100
DDF,MLP-maxIter-100,0,1,1506.44,test,MLP,maxIter,100
DDF,MLP-maxIter-100,0,2,352.755,test,MLP,maxIter,100
DDF,MLP-maxIter-15,0,0,1843.81,train,MLP,maxIter,15
DDF,MLP-maxIter-15,0,1,5003.92,train,MLP,maxIter,15
DDF,MLP-maxIter-15,0,2,3972.24,train,MLP,maxIter,15
DDF,MLP-maxIter-15,0,0,438.67000000000013,test,MLP,maxIter,15
DDF,MLP-maxIter-15,0,1,1747.965,test,MLP,maxIter,15
DDF,MLP-maxIter-15,0,2,392.53,test,MLP,maxIter,15
DDF,MLP-maxIter-20,0,0,2549.78,train,MLP,maxIter,20
DDF,MLP-maxIter-20,0,1,6241.9299999999985,train,MLP,maxIter,20
DDF,MLP-maxIter-20,0,2,3545.0600000000004,train,MLP,maxIter,20
DDF,MLP-maxIter-20,0,0,376.315,test,MLP,maxIter,20
DDF,MLP-maxIter-20,0,1,1769.0,test,MLP,maxIter,20
DDF,MLP-maxIter-20,0,2,1413.63,test,MLP,maxIter,20
DDF,MLP-maxIter-5,0,0,1280.855,train,MLP,maxIter,5
DDF,MLP-maxIter-5,0,1,1413.635,train,MLP,maxIter,5
DDF,MLP-maxIter-5,0,2,3823.09,train,MLP,maxIter,5
DDF,MLP-maxIter-5,0,0,563.8,test,MLP,maxIter,5
DDF,MLP-maxIter-5,0,1,1870.63,test,MLP,maxIter,5
DDF,MLP-maxIter-5,0,2,1496.6799999999996,test,MLP,maxIter,5
DDF,MLP-maxIter-50,0,0,7420.070000000002,train,MLP,maxIter,50
DDF,MLP-maxIter-50,0,1,5877.135,train,MLP,maxIter,50
DDF,MLP-maxIter-50,0,2,6877.969999999998,train,MLP,maxIter,50
DDF,MLP-maxIter-50,0,0,1594.8,test,MLP,maxIter,50
DDF,MLP-maxIter-50,0,1,943.26,test,MLP,maxIter,50
DDF,MLP-maxIter-50,0,2,412.35500000000013,test,MLP,maxIter,50
DDF,MLP-stepSize-0.003,0,0,11562.555,train,MLP,stepSize,0.003
DDF,MLP-stepSize-0.003,0,1,10496.8,train,MLP,stepSize,0.003
DDF,MLP-stepSize-0.003,0,2,10994.11,train,MLP,stepSize,0.003
DDF,MLP-stepSize-0.003,0,0,1207.33,test,MLP,stepSize,0.003
DDF,MLP-stepSize-0.003,0,1,1722.74,test,MLP,stepSize,0.003
DDF,MLP-stepSize-0.003,0,2,1242.42,test,MLP,stepSize,0.003
DDF,MLP-stepSize-0.3,0,0,10540.14,train,MLP,stepSize,0.3
DDF,MLP-stepSize-0.3,0,1,13322.330000000002,train,MLP,stepSize,0.3
DDF,MLP-stepSize-0.3,0,2,11470.625,train,MLP,stepSize,0.3
DDF,MLP-stepSize-0.3,0,0,1376.1,test,MLP,stepSize,0.3
DDF,MLP-stepSize-0.3,0,1,1419.0,test,MLP,stepSize,0.3
DDF,MLP-stepSize-0.3,0,2,1708.83,test,MLP,stepSize,0.3
DDF,MLP-tol-0.0001,0,0,14239.56,train,MLP,tol,0.0001
DDF,MLP-tol-0.0001,0,1,12337.2,train,MLP,tol,0.0001
DDF,MLP-tol-0.0001,0,2,12910.445,train,MLP,tol,0.0001
DDF,MLP-tol-0.0001,0,0,1696.335,test,MLP,tol,0.0001
DDF,MLP-tol-0.0001,0,1,1687.9050000000002,test,MLP,tol,0.0001
DDF,MLP-tol-0.0001,0,2,1943.92,test,MLP,tol,0.0001
DDF,MLP-tol-0.01,0,0,14037.02,train,MLP,tol,0.01
DDF,MLP-tol-0.01,0,1,12098.45,train,MLP,tol,0.01
DDF,MLP-tol-0.01,0,2,12981.21,train,MLP,tol,0.01
DDF,MLP-tol-0.01,0,0,567.0999999999998,test,MLP,tol,0.01
DDF,MLP-tol-0.01,0,1,1677.91,test,MLP,tol,0.01
DDF,MLP-tol-0.01,0,2,1879.76,test,MLP,tol,0.01
DDF,MLP-tol-0.1,0,0,6549.2350000000015,train,MLP,tol,0.1
DDF,MLP-tol-0.1,0,1,5801.289999999999,train,MLP,tol,0.1
DDF,MLP-tol-0.1,0,2,5951.25,train,MLP,tol,0.1
DDF,MLP-tol-0.1,0,0,1023.25,test,MLP,tol,0.1
DDF,MLP-tol-0.1,0,1,1627.165,test,MLP,tol,0.1
DDF,MLP-tol-0.1,0,2,1556.67,test,MLP,tol,0.1
DDF,MLP-tol-1e-06,0,0,13570.21,train,MLP,tol,1e-06
DDF,MLP-tol-1e-06,0,1,12970.97,train,MLP,tol,1e-06
DDF,MLP-tol-1e-06,0,2,13938.419999999998,train,MLP,tol,1e-06
DDF,MLP-tol-1e-06,0,0,733.0899999999998,test,MLP,tol,1e-06
DDF,MLP-tol-1e-06,0,1,1037.755,test,MLP,tol,1e-06
DDF,MLP-tol-1e-06,0,2,685.735,test,MLP,tol,1e-06
